crs,range_min_x,range_min_y,range_max_x,range_max_y,width,height,undefined_values,file_name,errors
EPSG:25832,598000,5919000,598999,5919999,1000,1000,0,dgm1_32_598_5919_1_sh.cvf,0x0
EPSG:25832,599000,5919000,599999,5919999,1000,1000,0,dgm1_32_599_5919_1_sh.cvf,0x0
EPSG:25832,600000,5919000,600999,5919999,1000,1000,0,dgm1_32_600_5919_1_sh.cvf,0x0
EPSG:25832,601000,5919000,601999,5919999,1000,1000,0,dgm1_32_601_5919_1_sh.cvf,0x0
EPSG:25832,602000,5919000,602999,5919999,1000,1000,0,dgm1_32_602_5919_1_sh.cvf,0x0
EPSG:25832,603000,5919000,603999,5919999,1000,1000,0,dgm1_32_603_5919_1_sh.cvf,0x0
EPSG:25832,604000,5919000,604999,5919999,1000,1000,0,dgm1_32_604_5919_1_sh.cvf,0x0
EPSG:25832,605000,5919000,605999,5919999,1000,1000,0,dgm1_32_605_5919_1_sh.cvf,0x0
EPSG:25832,606000,5919000,606999,5919999,1000,1000,0,dgm1_32_606_5919_1_sh.cvf,0x0
EPSG:25832,607000,5919000,607999,5919999,1000,1000,0,dgm1_32_607_5919_1_sh.cvf,0x0
EPSG:25832,608000,5919000,608999,5919999,1000,1000,0,dgm1_32_608_5919_1_sh.cvf,0x0
EPSG:25832,609000,5919000,609999,5919999,1000,1000,0,dgm1_32_609_5919_1_sh.cvf,0x0
EPSG:25832,585000,5920000,585999,5920999,1000,1000,0,dgm1_32_585_5920_1_sh.cvf,0x0
EPSG:25832,586000,5920000,586999,5920999,1000,1000,0,dgm1_32_586_5920_1_sh.cvf,0x0
EPSG:25832,587000,5920000,587999,5920999,1000,1000,0,dgm1_32_587_5920_1_sh.cvf,0x0
EPSG:25832,588000,5920000,588999,5920999,1000,1000,0,dgm1_32_588_5920_1_sh.cvf,0x0
EPSG:25832,589000,5920000,589999,5920999,1000,1000,0,dgm1_32_589_5920_1_sh.cvf,0x0
EPSG:25832,590000,5920000,590999,5920999,1000,1000,0,dgm1_32_590_5920_1_sh.cvf,0x0
EPSG:25832,591000,5920000,591999,5920999,1000,1000,0,dgm1_32_591_5920_1_sh.cvf,0x0
EPSG:25832,592000,5920000,592999,5920999,1000,1000,0,dgm1_32_592_5920_1_sh.cvf,0x0
EPSG:25832,593000,5920000,593999,5920999,1000,1000,0,dgm1_32_593_5920_1_sh.cvf,0x0
EPSG:25832,594000,5920000,594999,5920999,1000,1000,0,dgm1_32_594_5920_1_sh.cvf,0x0
EPSG:25832,595000,5920000,595999,5920999,1000,1000,0,dgm1_32_595_5920_1_sh.cvf,0x0
EPSG:25832,596000,5920000,596999,5920999,1000,1000,0,dgm1_32_596_5920_1_sh.cvf,0x0
EPSG:25832,597000,5920000,597999,5920999,1000,1000,0,dgm1_32_597_5920_1_sh.cvf,0x0
EPSG:25832,598000,5920000,598999,5920999,1000,1000,0,dgm1_32_598_5920_1_sh.cvf,0x0
EPSG:25832,599000,5920000,599999,5920999,1000,1000,0,dgm1_32_599_5920_1_sh.cvf,0x0
EPSG:25832,600000,5920000,600999,5920999,1000,1000,0,dgm1_32_600_5920_1_sh.cvf,0x0
EPSG:25832,601000,5920000,601999,5920999,1000,1000,0,dgm1_32_601_5920_1_sh.cvf,0x0
EPSG:25832,602000,5920000,602999,5920999,1000,1000,0,dgm1_32_602_5920_1_sh.cvf,0x0
EPSG:25832,603000,5920000,603999,5920999,1000,1000,0,dgm1_32_603_5920_1_sh.cvf,0x0
EPSG:25832,604000,5920000,604999,5920999,1000,1000,0,dgm1_32_604_5920_1_sh.cvf,0x0
EPSG:25832,605000,5920000,605999,5920999,1000,1000,0,dgm1_32_605_5920_1_sh.cvf,0x0
EPSG:25832,606000,5920000,606999,5920999,1000,1000,0,dgm1_32_606_5920_1_sh.cvf,0x0
EPSG:25832,607000,5920000,607999,5920999,1000,1000,0,dgm1_32_607_5920_1_sh.cvf,0x0
EPSG:25832,608000,5920000,608999,5920999,1000,1000,0,dgm1_32_608_5920_1_sh.cvf,0x0
EPSG:25832,609000,5920000,609999,5920999,1000,1000,0,dgm1_32_609_5920_1_sh.cvf,0x0
EPSG:25832,585000,5921000,585999,5921999,1000,1000,0,dgm1_32_585_5921_1_sh.cvf,0x0
EPSG:25832,586000,5921000,586999,5921999,1000,1000,0,dgm1_32_586_5921_1_sh.cvf,0x0
EPSG:25832,587000,5921000,587999,5921999,1000,1000,0,dgm1_32_587_5921_1_sh.cvf,0x0
EPSG:25832,588000,5921000,588999,5921999,1000,1000,0,dgm1_32_588_5921_1_sh.cvf,0x0
EPSG:25832,589000,5921000,589999,5921999,1000,1000,0,dgm1_32_589_5921_1_sh.cvf,0x0
EPSG:25832,590000,5921000,590999,5921999,1000,1000,0,dgm1_32_590_5921_1_sh.cvf,0x0
EPSG:25832,591000,5921000,591999,5921999,1000,1000,0,dgm1_32_591_5921_1_sh.cvf,0x0
EPSG:25832,592000,5921000,592999,5921999,1000,1000,0,dgm1_32_592_5921_1_sh.cvf,0x0
EPSG:25832,593000,5921000,593999,5921999,1000,1000,0,dgm1_32_593_5921_1_sh.cvf,0x0
EPSG:25832,594000,5921000,594999,5921999,1000,1000,0,dgm1_32_594_5921_1_sh.cvf,0x0
EPSG:25832,595000,5921000,595999,5921999,1000,1000,0,dgm1_32_595_5921_1_sh.cvf,0x0
EPSG:25832,596000,5921000,596999,5921999,1000,1000,0,dgm1_32_596_5921_1_sh.cvf,0x0
EPSG:25832,597000,5921000,597999,5921999,1000,1000,0,dgm1_32_597_5921_1_sh.cvf,0x0
EPSG:25832,598000,5921000,598999,5921999,1000,1000,0,dgm1_32_598_5921_1_sh.cvf,0x0
EPSG:25832,599000,5921000,599999,5921999,1000,1000,0,dgm1_32_599_5921_1_sh.cvf,0x0
EPSG:25832,600000,5921000,600999,5921999,1000,1000,0,dgm1_32_600_5921_1_sh.cvf,0x0
EPSG:25832,601000,5921000,601999,5921999,1000,1000,0,dgm1_32_601_5921_1_sh.cvf,0x0
EPSG:25832,602000,5921000,602999,5921999,1000,1000,0,dgm1_32_602_5921_1_sh.cvf,0x0
EPSG:25832,603000,5921000,603999,5921999,1000,1000,0,dgm1_32_603_5921_1_sh.cvf,0x0
EPSG:25832,604000,5921000,604999,5921999,1000,1000,0,dgm1_32_604_5921_1_sh.cvf,0x0
EPSG:25832,605000,5921000,605999,5921999,1000,1000,0,dgm1_32_605_5921_1_sh.cvf,0x0
EPSG:25832,606000,5921000,606999,5921999,1000,1000,0,dgm1_32_606_5921_1_sh.cvf,0x0
EPSG:25832,607000,5921000,607999,5921999,1000,1000,0,dgm1_32_607_5921_1_sh.cvf,0x0
EPSG:25832,608000,5921000,608999,5921999,1000,1000,0,dgm1_32_608_5921_1_sh.cvf,0x0
EPSG:25832,609000,5921000,609999,5921999,1000,1000,0,dgm1_32_609_5921_1_sh.cvf,0x0
EPSG:25832,583000,5922000,583999,5922999,1000,1000,0,dgm1_32_583_5922_1_sh.cvf,0x0
EPSG:25832,584000,5922000,584999,5922999,1000,1000,0,dgm1_32_584_5922_1_sh.cvf,0x0
EPSG:25832,585000,5922000,585999,5922999,1000,1000,0,dgm1_32_585_5922_1_sh.cvf,0x0
EPSG:25832,586000,5922000,586999,5922999,1000,1000,0,dgm1_32_586_5922_1_sh.cvf,0x0
EPSG:25832,587000,5922000,587999,5922999,1000,1000,0,dgm1_32_587_5922_1_sh.cvf,0x0
