    ars    |                           gen                           |                                    st_extent                                     
 130735351 | Altenpleen                                              | BOX(12.879669208310542 54.31341190468838,13.094463445627191 54.46026452857864)
 064400001 | Altenstadt                                              | BOX(8.899123482067564 50.25323505312386,9.00792745256608 50.31538513477044)
 091905174 | Altenstadt                                              | BOX(10.746900449165533 47.77561373420323,10.93194221320413 47.87418301614487)
 097755740 | Altenstadt                                              | BOX(10.091466530482583 48.108459268124186,10.215045152071726 48.1988990178108)
 093740111 | Altenstadt a.d. Waldnaab                                | BOX(12.080238670613364 49.69834546259503,12.17094446824431 49.75154135823308)
 082355001 | Altensteig                                              | BOX(8.449202647627413 48.5419508040365,8.677083218385466 48.662084554951136)
 032515401 | Altes Amt Lemförde                                      | BOX(8.297154079185978 52.44363887841091,8.505684817103417 52.5493911495813)
 092745226 | Altfraunhofen                                           | BOX(12.143959071433144 48.394317900628586,12.237504856308028 48.47472469140068)
 082355002 | Althengstett                                            | BOX(8.738332424092276 48.66948849481551,8.878631015256529 48.7634342413512)
 120640029 | Altlandsberg                                            | BOX(13.668374148776785 52.53983163400503,13.939000284678377 52.647532031994935)
 091760112 | Altmannstein                                            | BOX(11.507248180645007 48.85783757772076,11.744115296556156 48.96100664257513)
 095775533 | Altmühltal                                              | BOX(10.729010674158628 48.98307121707203,10.899976858107586 49.08733345948269)
 091740111 | Altomünster                                             | BOX(11.161468852405322 48.33838077938612,11.331712896036 48.44178321646408)
 091710111 | Altötting                                               | BOX(12.60773591333083 48.19968814298211,12.731496731097476 48.254191206893864)
 084365001 | Altshausen                                              | BOX(9.392530098266272 47.86608398042636,9.62241566108964 48.005548406122365)
 097800112 | Altusried                                               | BOX(10.064681025461798 47.74360271327813,10.290070173281661 47.84063048431194)
 096710111 | Alzenau                                                 | BOX(9.020941747222876 50.04078233110732,9.156410343391999 50.126624041925695)
 073310003 | Alzey                                                   | BOX(8.040381826087646 49.72007472428553,8.166244259979239 49.772449069135625)
 073315001 | Alzey-Land                                              | BOX(7.953492601719018 49.660993608302064,8.235557210442884 49.82443684048205)
 093610000 | Amberg                                                  | BOX(11.776674185150593 49.41182622089648,11.914553735456899 49.497060744352)
 160765008 | Am Brahmetal                                            | BOX(12.130755916707527 50.87400145165507,12.249460789109623 50.97586604439119)
 033555401 | Amelinghausen                                           | BOX(10.036090050437494 53.0430018151303,10.346780973911542 53.193489921530755)
 091870113 | Amerang                                                 | BOX(12.26104911988436 47.96476860308933,12.357393325892224 48.057431413340616)
 160715053 | Am Ettersberg                                           | BOX(11.192126784138125 51.01873135202484,11.394622384308912 51.106492544280854)
 031589501 | Am Großen Rhode                                         | BOX(10.747692421544302 52.18270064424917,10.807557486708177 52.20923855435482)
 146255501 | Am Klosterwasser                                        | BOX(14.128240156791803 51.18063472974071,14.289699553101835 51.33992256157685)
 120720002 | Am Mellensee                                            | BOX(13.297896300352757 52.086973221461484,13.467449361133337 52.212398533606404)
 084160048 | Ammerbuch                                               | BOX(8.883440343285852 48.51396423181968,9.035043908005624 48.591498034029705)
 095730111 | Ammerndorf                                              | BOX(10.822985735951361 49.411104376429755,10.88103037578727 49.43523938365)
 010620090 | Ammersbek                                               | BOX(10.140273002437937 53.66783334783351,10.245567037604095 53.71417818866226)
 091819451 | Ammersee                                                | BOX(11.095761876615217 47.93505981003176,11.170240631993893 48.081255162549105)
 093710111 | Ammerthal                                               | BOX(11.742565278664749 49.41928891075711,11.78891519602622 49.4644294392242)
 160610116 | Am Ohmberg                                              | BOX(10.405379819120945 51.452939112857194,10.522323670279036 51.517104364818614)
 065340001 | Amöneburg                                               | BOX(8.863617914152353 50.724963896952325,8.981278510732981 50.82087134925069)
 096760112 | Amorbach                                                | BOX(9.088071095960796 49.578802143306895,9.30648719042612 49.69694729859704)
 130755551 | Am Peenestrom                                           | BOX(13.640087923020722 53.877372535172675,13.934209409241822 54.08541458891447)
 091830112 | Ampfing                                                 | BOX(12.320914683851516 48.22395503257667,12.455783698131603 48.29580616362139)
 130755552 | Am Stettiner Haff                                       | BOX(13.826413183918351 53.57464325261838,14.31694809526466 53.8151588878286)
 033550049 | Amt Neuhaus                                             | BOX(10.783483671615969 53.13812653935113,11.19532805569341 53.34841964501595)
 145210010 | Amtsberg                                                | BOX(12.96297910847674 50.716050073100575,13.054642896250575 50.7798265542872)
 160700028 | Amt Wachsenburg                                         | BOX(10.820469050891484 50.81740398031049,11.115543755089183 50.91316285774283)
 091880117 | Andechs                                                 | BOX(11.149587799625728 47.92143237475506,11.2455623645126 48.022445385403)
 150845051 | An der Finne                                            | BOX(11.364832642693921 51.09744866148197,11.740590978626773 51.296467568734634)
 071370003 | Andernach                                               | BOX(7.286735002228435 50.38602808807959,7.450855561766731 50.476613304665086)
 160655056 | An der Schmücke                                         | BOX(11.09688629163444 51.23457529655746,11.32756602632156 51.35185548758605)
 065340002 | Angelburg                                               | BOX(8.393774432859066 50.789962816937816,8.470772106028866 50.837007163283744)
 091720112 | Anger                                                   | BOX(12.763987723485647 47.75635077110622,12.910621104542065 47.83510878869254)
 120730008 | Angermünde                                              | BOX(13.786847845600237 52.93154916117593,14.14728449378814 53.15945531296901)
 130750005 | Anklam                                                  | BOX(13.623055543769885 53.774186380382176,13.82111413179826 53.87585892172931)
 130755553 | Anklam-Land                                             | BOX(13.343501563095586 53.6929782014774,13.967886838442736 53.9181029789854)
 145210020 | Annaberg-Buchholz                                       | BOX(12.970284538706693 50.538169172177824,13.054011002360946 50.60649745033567)
