  ars  |                gen                |                                    st_extent                                     
 05954 | Ennepe-Ruhr-Kreis                 | BOX(7.108443196451803 51.2132484748889,7.51854297552661 51.48386477940818)
 08236 | Enzkreis                          | BOX(8.467530585487959 48.77430464637372,8.948180293712712 49.06218623490711)
 09177 | Erding                            | BOX(11.731387362826219 48.14036565814814,12.255056956443259 48.454814370117816)
 16051 | Erfurt                            | BOX(10.85534689007107 50.89023260477492,11.175108478054716 51.079952039188086)
 09562 | Erlangen                          | BOX(10.916253801930942 49.53313095032406,11.05339819939121 49.64566367019777)
 09572 | Erlangen-Höchstadt                | BOX(10.591827069889117 49.471349268133025,11.288644362422984 49.78820025979116)
 14521 | Erzgebirgskreis                   | BOX(12.457726047284979 50.39731746205869,13.501846178720186 50.806566631166746)
 05113 | Essen                             | BOX(6.894508077474602 51.347412790345544,7.13684178727265 51.534127056671)
 08116 | Esslingen                         | BOX(9.084926226455163 48.512303332819194,9.596440860495331 48.788203981026605)
 05366 | Euskirchen                        | BOX(6.315555834420018 50.323011952583144,6.934746954787057 50.789666120220545)
 01001 | Flensburg                         | BOX(9.357220591547652 54.75187298885215,9.50671528322748 54.837075243318516)
 09474 | Forchheim                         | BOX(10.912807671116706 49.58732500040018,11.388560382227379 49.87456022952411)
 07311 | Frankenthal (Pfalz)               | BOX(8.30827035416063 49.485278388004566,8.423067801384251 49.58275939746853)
 06412 | Frankfurt am Main                 | BOX(8.472632962471035 50.015574487011214,8.800534534329817 50.226257300451536)
 12053 | Frankfurt (Oder)                  | BOX(14.394834417176918 52.2527720088313,14.601355190087288 52.398233350934476)
 08311 | Freiburg im Breisgau              | BOX(7.662455039912187 47.90350029187308,7.93031416563784 48.07111195661782)
 09178 | Freising                          | BOX(11.492512612844527 48.265886425415786,12.019335295802374 48.61664640101884)
 08237 | Freudenstadt                      | BOX(8.206727119910864 48.30111640512202,8.828929358865244 48.6394575674307)
 09272 | Freyung-Grafenau                  | BOX(13.167879166440942 48.681959059519066,13.839584445443249 48.983370093967814)
 03455 | Friesland                         | BOX(7.809301497043013 53.30469752499285,8.207268460547406 53.79477067851127)
 06631 | Fulda                             | BOX(9.427292202702997 50.35614961568425,10.082964841544552 50.80963269487389)
 09179 | Fürstenfeldbruck                  | BOX(10.992872261923958 48.08780151918272,11.41245077655534 48.29668394477921)
