     ars      |                 gen                  |                                    st_extent                                     
 073335003001 | Albisheim (Pfrimm)                   | BOX(8.048942688562894 49.625212696063514,8.113248881372984 49.66665246056696)
 010535358001 | Albsfelde                            | BOX(10.679370002176729 53.66938763671329,10.718383034044942 53.693081994002284)
 084175001079 | Albstadt                             | BOX(8.883601146754508 48.15919979905128,9.08038474289486 48.315256846472934)
 053580004004 | Aldenhoven                           | BOX(6.199716572036992 50.86225341120607,6.335457410445376 50.93994329933426)
 092750114114 | Aldersbach                           | BOX(12.983372797011464 48.5529542736181,13.123871875079137 48.63149680125469)
 083275004002 | Aldingen                             | BOX(8.634042410081545 48.06303560106889,8.722886662450112 48.12126991492751)
 097795722111 | Alerheim                             | BOX(10.57623152376876 48.821617317744426,10.684246010929849 48.8698238216269)
 095775533113 | Alesheim                             | BOX(10.831890462826026 49.001705058867564,10.899976858107586 49.0691715472234)
 097745731111 | Aletshausen                          | BOX(10.361854651918726 48.17117689273233,10.44568925218018 48.218900099157125)
 071355005001 | Alf                                  | BOX(7.079947518204651 50.04727763871013,7.132737334438049 50.07718665488158)
 081190001001 | Alfdorf                              | BOX(9.631211506951393 48.81420122929111,9.769657722171369 48.9153021731462)
 095745528111 | Alfeld                               | BOX(11.485715517876603 49.41055458872019,11.577839685678 49.457243606487964)
 032540002002 | Alfeld (Leine)                       | BOX(9.739143895587643 51.928632583296015,9.907363458035185 52.035885035371386)
 034595402001 | Alfhausen                            | BOX(7.892328802809496 52.4536963086218,8.016508224086104 52.5384083114922)
 071355003002 | Alflen                               | BOX(7.011174605761217 50.15731045841977,7.078165478586634 50.20540862011377)
 033575403002 | Alfstedt                             | BOX(9.010645857460382 53.53037194702936,9.115631611823678 53.57224460505278)
 053820004004 | Alfter                               | BOX(6.958236618939035 50.661811771647926,7.04429339136503 50.75657527146106)
 032540003003 | Algermissen                          | BOX(9.910161248307421 52.22921711426513,10.034467695464322 52.29688447757306)
 066320001001 | Alheim                               | BOX(9.564805369316344 50.98098982495576,9.754537479874232 51.07968826099556)
 071375009201 | Alken                                | BOX(7.442410849233466 50.224741919712166,7.502448855732387 50.25442486069061)
 160705009001 | Alkersleben                          | BOX(11.014543253907885 50.833944444867306,11.073488831254764 50.85996499861275)
 010545488005 | Alkersum                             | BOX(8.478876621134773 54.69340138609271,8.518379175803974 54.74465209481914)
